Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source,License URL
IP.PAT.NRES,CC BY-4.0,"Patent applications, nonresidents",Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office.,"Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention--a product or process that provides a new way of doing something or offers a new technical solution to a problem. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.","World Intellectual Property Organization (WIPO), WIPO Patent Report: Statistics on Worldwide Patent Activity. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure: Technology,,Annual,Sum,"Non-resident patent applications are from applicants outside the relevant State or region. Patent data cover applications and grants classified by field of technology. International applications series distinguish four subcategories: a) patents taken out by residents of a country in that country; b) patents taken out in a country by non-residents of that country; c) total patents registered in the country or naming it; d) patents taken out outside a country by its residents. Data on patents granted only distinguish between patents awarded to residents and to non-residents. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.

Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention - a product or process that provides a new way of doing something or offers a new technical solution to a problem.","The Patent Cooperation Treaty (www.wipo.int/pct) provides a two phase system for filing patent. International applications under the treaty provide for a national patent grant only - there is no international patent. The national filing represents the applicant's seeking of patent protection for a given territory, whereas international filings, while representing a legal right, do not accurately reflect where patent protection is sought. Resident filings are those from residents of the country concerned. Nonresident filings are from applicants abroad. For regional offices applications from residents of any member state of the regional patent convention are considered nonresident filings. Some offices (notably the U.S. Patent and Trademark Office) use the residence of the inventor rather than the applicant to classify filings.

Patent data are a great resource for the study of technical change in a country or region. Patent data provide a uniquely detailed source of information on inventive activity and the multiple dimensions of the inventive process (e.g. geographical location, technical and institutional origin, individuals and networks). Furthermore, patent data form a consistent basis for comparisons across time and across countries.

Patent data can be used in the analysis of a wide array of topics related to technical change and patenting activity including industry-science linkages, patenting strategies by companies, internationalization of research, and indicators on the value of patents. Patent-based statistics reflect the inventive performance of countries, regions and firms, as well as other aspects of the dynamics of the innovation process such as co-operation in innovation or technology paths.","A patent is an exclusive right granted for a specified period (generally 20 years) for a new way of doing something or a new technical solution to a problem - an invention. The invention must be of practical use and display a characteristic unknown in the existing body of knowledge in its field. Most countries have systems to protect patentable inventions.

Unless otherwise stated, statistics on the number of resident and non-resident patent applications include those filed via the PCT system as PCT national/regional phase entries.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
IP.PAT.RESD,CC BY-4.0,"Patent applications, residents",Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office.,"Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention--a product or process that provides a new way of doing something or offers a new technical solution to a problem. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.","World Intellectual Property Organization (WIPO), WIPO Patent Report: Statistics on Worldwide Patent Activity. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure: Technology,,Annual,Sum,"Resident patent applications are those for which the first-named applicant or assignee is a resident of the State or region concerned. In the case of regional offices such as the European Patent Office, a resident is an applicant from any of the member States of the regional patent convention.

Patent data cover applications and grants classified by field of technology. International applications series distinguish four subcategories: a) patents taken out by residents of a country in that country; b) patents taken out in a country by non-residents of that country; c) total patents registered in the country or naming it; d) patents taken out outside a country by its residents. Data on patents granted only distinguish between patents awarded to residents and to non-residents. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.

Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention - a product or process that provides a new way of doing something or offers a new technical solution to a problem.","The Patent Cooperation Treaty (www.wipo.int/pct) provides a two phase system for filing patent. International applications under the treaty provide for a national patent grant only - there is no international patent. The national filing represents the applicant's seeking of patent protection for a given territory, whereas international filings, while representing a legal right, do not accurately reflect where patent protection is sought. Resident filings are those from residents of the country concerned. Nonresident filings are from applicants abroad. For regional offices applications from residents of any member state of the regional patent convention are considered nonresident filings. Some offices (notably the U.S. Patent and Trademark Office) use the residence of the inventor rather than the applicant to classify filings.

Patent data are a great resource for the study of technical change in a country or region. Patent data provide a uniquely detailed source of information on inventive activity and the multiple dimensions of the inventive process (e.g. geographical location, technical and institutional origin, individuals and networks). Furthermore, patent data form a consistent basis for comparisons across time and across countries.

Patent data can be used in the analysis of a wide array of topics related to technical change and patenting activity including industry-science linkages, patenting strategies by companies, internationalization of research, and indicators on the value of patents. Patent-based statistics reflect the inventive performance of countries, regions and firms, as well as other aspects of the dynamics of the innovation process such as co-operation in innovation or technology paths.",A patent is an exclusive right granted for a specified period (generally 20 years) for a new way of doing something or a new technical solution to a problem - an invention. The invention must be of practical use and display a characteristic unknown in the existing body of knowledge in its field. Most countries have systems to protect patentable inventions.,,,https://datacatalog.worldbank.org/public-licenses#cc-by
IS.RRS.TOTL.KM,CC BY-4.0,Rail lines (total route-km),,"Rail lines are the length of railway route available for train service, irrespective of the number of parallel tracks.",Internation Union of Railways (UIC),Infrastructure: Transportation,,Annual,,"Rail lines are the length of railway route available for train service, irrespective of the number of parallel tracks. It includes railway routes that are open for public passenger and freight servies and excludes dedicated private resource railways.","Transport infrastructure - highways, railways, ports and waterways, and airports and air traffic control systems - and the services that flow from it are crucial to the activities of households, producers, and governments. Because performance indicators vary widely by transport mode and focus (whether physical infrastructure or the services flowing from that infrastructure), highly specialized and carefully specified indicators are required to measure a country's transport infrastructure.

The railway transport industry a vital engine of global socio-economic growth. It is of vital importance for economic development, creating direct and indirect employment, supporting tourism and local businesses. Economic growth, technological change, and market liberalization affect road transport throughout the world.

Railways have helped in the industrialization process of a country by easy transportation of coal and raw-materials at a cheaper rate. As railways require huge capital outlay, they may give rise to monopolies and work against public interest at large. Even if controlled and managed by the government, lack of competition sometimes results in inefficiency and high costs. Also, many times it is not economical to operate railways in sparsely settled rural areas. Thus, in many developing countries large rural areas have no railway even today.

Rail transport is a major form of passenger and freight transport in many countries. It is ubiquitous in Europe, with an integrated network covering virtually the whole continent. In India, China, South Korea and Japan, many millions use trains as regular transport. In the North America, freight rail transport is widespread and heavily used in for transporting gods. The western Europe region has the highest railway density in the world and has many individual trains which operate through several countries despite technical and organizational differences in each national network. Australia has a generally sparse network, mostly along its densely populated urban centers.","Unlike the road sector, where numerous qualified motor vehicle operators can operate anywhere on the road network, railways are a restricted transport system with vehicles confined to a fixed guideway. Considering the cost and service characteristics, railways generally are best suited to carry - and can effectively compete for - bulk commodities and containerized freight for distances of 500-5,000 kilometers, and passengers for distances of 50-1,000 kilometers. Below these limits road transport tends to be more competitive, while above these limits air transport for passengers and freight and sea transport for freight tend to be more competitive. 

Data for transport sectors are not always internationally comparable. Unlike for demographic statistics, national income accounts, and international trade data, the collection of infrastructure data has not been ""internationalized"". The data from IUC is based a reporting by the railway companies and it can show a drastic increase or decrease for some of the years because of no reporting by some of the companies of a country.",,"Internation Union of Railways (UIC Railisa Database): Var 1112 Total length of lines worked at the end of the year. Gauge: N standard gauge (1,435 m) L broad gauge (exact rail gauge inserted); E narrow gauge (exact rail gauge inserted). The length of railway lines worked is obtained by taking these sections including main-line track listed in the Capital Expenditure Account. Sections not worked are deducted only in cases where they are permanently out of use that is to say, if they are no longer maintained in working order. Lines temporarily out of use continue to form part of the length of lines worked. The length of a section is measured in the middle of the section, from centre to centre of the passenger buildings, or of the corresponding service buildings, of stations which are shown as independent points of departure or arrival for the conveyance of passengers or freight. If the boundary of the rail network falls in open track, the length of the section is measured up to that point. The section situated between a station approach and the join to the main line of two lines or more which is used by all trains in either direction over these lines, is only counted once. However, if for one or more of these lines, tracks are normally allocated, the length of these lines is counted separately. On the other hand, if between two stations there are one or more parallel tracks (siding-lines) to the main line, only the length of the latter is counted. In the case of regular lines worked exclusively during part of the year (seasonal lines), their length is included in the end-of-year statement.",https://datacatalog.worldbank.org/public-licenses#cc-by
IS.RRS.GOOD.MT.K6,CC BY-4.0,"Railways, goods transported (million ton-km)",,"Goods transported by railway are the volume of goods transported by railway, measured in metric tons times kilometers traveled.","Internation Union of Railways (UIC), OECD Statistics",Infrastructure: Transportation,,Annual,Median,"Freight traffic on any mode is typically measured in tons and ton-kilometers. A ton-kilometer equals cargo weight transported times distance transported. For railways, an important measure of work performed is gross ton-kilometers, this measure includes rail wagons' empty weight for both empty and loaded movements. This measure of gross ton-kilometers is also called ‘trailing tons' or the total tons being hauled. Sometimes gross ton-kilometer measures include the weight of locomotives used to haul freight trains.","Transport infrastructure - highways, railways, ports and waterways, and airports and air traffic control systems - and the services that flow from it are crucial to the activities of households, producers, and governments. Because performance indicators vary widely by transport mode and focus (whether physical infrastructure or the services flowing from that infrastructure), highly specialized and carefully specified indicators are required to measure a country's transport infrastructure.

The railway transport industry a vital engine of global socio-economic growth. It is of vital importance for economic development, creating direct and indirect employment, supporting tourism and local businesses. Economic growth, technological change, and market liberalization affect road transport throughout the world.

Railways have helped in the industrialization process of a country by easy transportation of coal and raw-materials at a cheaper rate. As railways require huge capital outlay, they may give rise to monopolies and work against public interest at large. Even if controlled and managed by the government, lack of competition sometimes results in inefficiency and high costs. Also, many times it is not economical to operate railways in sparsely settled rural areas. Thus, in many developing countries large rural areas have no railway even today.

Rail transport is a major form of passenger and freight transport in many countries. It is ubiquitous in Europe, with an integrated network covering virtually the whole continent. In India, China, South Korea and Japan, many millions use trains as regular transport. In the North America, freight rail transport is widespread and heavily used in for transporting gods. The western Europe region has the highest railway density in the world and has many individual trains which operate through several countries despite technical and organizational differences in each national network. Australia has a generally sparse network, mostly along its densely populated urban centers.

Bulk freight handling is a key advantage for rail transport. Low or even zero transshipment costs combined with energy efficiency and low inventory costs allow trains to handle bulk much cheaper than by road. Typical bulk cargo includes coal, ore, grains and liquids. Bulk goods can be transported in open-topped cars, hopper cars and tank cars. Container trains have become the dominant type in the US for non-bulk haulage.","Unlike the road sector, where numerous qualified motor vehicle operators can operate anywhere on the road network, railways are a restricted transport system with vehicles confined to a fixed guideway. Considering the cost and service characteristics, railways generally are best suited to carry - and can effectively compete for - bulk commodities and containerized freight for distances of 500-5,000 kilometers, and passengers for distances of 50-1,000 kilometers. Below these limits road transport tends to be more competitive, while above these limits air transport for passengers and freight and sea transport for freight tend to be more competitive. 

Data for transport sectors are not always internationally comparable. Unlike for demographic statistics, national income accounts, and international trade data, the collection of infrastructure data has not been ""internationalized.""",,,https://datacatalog.worldbank.org/public-licenses#cc-by
IS.RRS.PASG.KM,CC BY-4.0,"Railways, passengers carried (million passenger-km)",,Passengers carried by railway are the number of passengers transported by rail multiplied by kilometers traveled.,"Internation Union of Railways (UIC Railisa Database), OECD Statistics",Infrastructure: Transportation,,Annual,Median,Passenger-kilometers are usually measured on the basis of the rail travel distance between origin and destination multiplied by the number of passengers traveling between each origin and destination.,"Transport infrastructure - highways, railways, ports and waterways, and airports and air traffic control systems - and the services that flow from it are crucial to the activities of households, producers, and governments. Because performance indicators vary widely by transport mode and focus (whether physical infrastructure or the services flowing from that infrastructure), highly specialized and carefully specified indicators are required to measure a country's transport infrastructure.

The railway transport industry a vital engine of global socio-economic growth. It is of vital importance for economic development, creating direct and indirect employment, supporting tourism and local businesses. Economic growth, technological change, and market liberalization affect road transport throughout the world.

Railways have helped in the industrialization process of a country by easy transportation of coal and raw-materials at a cheaper rate. As railways require huge capital outlay, they may give rise to monopolies and work against public interest at large. Even if controlled and managed by the government, lack of competition sometimes results in inefficiency and high costs. Also, many times it is not economical to operate railways in sparsely settled rural areas. Thus, in many developing countries large rural areas have no railway even today.

Rail transport is a major form of passenger and freight transport in many countries. Passenger trains can involve a variety of functions including long distance travel, daily commuter trips, or local urban transit services. Railways are very popular mode of transportation in Europe, with an integrated network covering virtually the whole continent. In India, China, South Korea and Japan, many millions use trains as regular transport. In North America, freight rail transport is widespread and heavily used in for transporting goods. The western Europe region has the highest railway density in the world and has many individual trains which operate through several countries despite technical and organizational differences in each national network. Australia has a generally sparse network, mostly along its densely populated urban centers.","Unlike the road sector, where numerous qualified motor vehicle operators can operate anywhere on the road network, railways are a restricted transport system with vehicles confined to a fixed guideway. Considering the cost and service characteristics, railways generally are best suited to carry - and can effectively compete for - bulk commodities and containerized freight for distances of 500-5,000 kilometers, and passengers for distances of 50-1,000 kilometers. Below these limits road transport tends to be more competitive, while above these limits air transport for passengers and freight and sea transport for freight tend to be more competitive. 

Data for transport sectors are not always internationally comparable. Unlike for demographic statistics, national income accounts, and international trade data, the collection of infrastructure data has not been ""internationalized.""",,"Internation Union of Railways (UIC Railisa Database): Var 5113 Passenger.kilometers on the national territory of the railway undertaking. This variable relates to passengers, irrespective of the fare paid and also including free travelling passengers, but excluding members of the train crew. The number of passengers should be calculated as number of passenger journeys. A journey is the act of moving from one place (origin) to another (destination) using a given transport mode (e.g. railway). A journey may consist of one or several stages depending on whether one has to change transport means (e.g. using more than one train) in order to get from the origin to the destination. In other words, a journey consists either of a single stage or a sequence of stages using the same transport mode (e.g. railway), following each other in such a way that the destination of one stage coincides with the origin of the next. Journeys should be considered finished when an overnight stay occurs. For practical purposes, journeys can be considered finished when a change in transport mode or transport company occurs. Passenger-kilometres is the total distance travelled by all the passengers. For instance, one person travelling for 20km contributes for 20 passenger-kilometres; four people, travelling for 20km each, contribute for 80 passenger- kilometres.
OECD Statistics: Rail passenger transport: any movement of passengers using a rail vehicle on a given rail network. National rail passenger transport: rail passenger transport between two places (a place of loading/embarkation and a place of unloading/disembarkation) located in the same country. It may involve transit through a second country. International rail passenger transport: rail passenger transport between a place (of loading/embarkation or unloading/disembarkation) in one country and a place (of loading/embarkation or unloading/disembarkation) in another country. It may involve transit through one or more additional countries. Rail passenger: any person, excluding members of the train crew, who makes a journey by rail. Passenger-kilometre by rail: unit of measurement representing the transport of one rail passenger by rail over a distance of one kilometre.",https://datacatalog.worldbank.org/public-licenses#cc-by
GB.XPD.RSDV.GD.ZS,CC BY-4.0,Research and development expenditure (% of GDP),,"Gross domestic expenditures on research and development (R&D), expressed as a percent of GDP. They include both capital and current expenditures in the four main sectors: Business enterprise, Government, Higher education and Private non-profit. R&D covers basic research, applied research, and experimental development.","UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed September 30, 2024. https://apiportal.uis.unesco.org/bdds.",Infrastructure: Technology,,Annual,Weighted average,"The gross domestic expenditure on R&D indicator consists of the total expenditure (current and capital) on R&D by all resident companies, research institutes, university and government laboratories, etc. It excludes R&D expenditures financed by domestic firms but performed abroad. 

The OECD's Frascati Manual defines research and experimental development as ""creative work undertaken on a systemic basis in order to increase the stock of knowledge, including knowledge of man, culture and society, and the use of this stock of knowledge to devise new applications."" R&D covers basic research, applied research, and experimental development.

(1) Basic research - Basic research is experimental or theoretical work undertaken primarily to acquire new knowledge of the underlying foundation of phenomena and observable facts, without any particular application or use in view

(2) Applied research - Applied research is also original investigation undertaken in order to acquire new knowledge; it is, however, directed primarily towards a specific practical aim or objective.

(3) Experimental development - Experimental development is systematic work, drawing on existing knowledge gained from research and/or practical experience, which is directed to producing new materials, products or devices, to installing new processes, systems and services, or to improving substantially those already produced or installed.

The fields of science and technology used to classify R&D according to the Revised Fields of Science and Technology Classification are:
1. Natural sciences;
2. Engineering and technology;
3. Medical and health sciences;
4. Agricultural sciences;
5. Social sciences;
6. Humanities and the arts.

The data are obtained through statistical surveys which are regularly conducted at national level covering R&D performing entities in the private and public sectors.",Expenditure on research and development (R&D) is a key indicator of government and private sector efforts to obtain competitive advantage in science and technology.,"Estimates of the resources allocated to R&D are affected by national characteristics such as the periodicity and coverage of national R&D surveys across institutional sectors and industries; and the use of different sampling and estimation methods. R&D typically involves a few large performers, hence R&D surveys use various techniques to maintain up-to-date registers of known performers, while attempting to identify new or occasional performers. 

R&D totals from SNA accounts may differ from these estimates, due in part to the different treatments of software R&D in the totals.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.SCIE.RD.P6,CC BY-4.0,Researchers in R&D (per million people),,"The number of researchers engaged in Research &Development (R&D), expressed as per million. Researchers are professionals who conduct research and improve or develop concepts, theories, models techniques instrumentation, software of operational methods. R&D covers basic research, applied research, and experimental development.","UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed September 30, 2024. https://apiportal.uis.unesco.org/bdds.",Infrastructure: Technology,,Annual,Weighted average,"Researchers are professionals engaged in the conception or creation of new knowledge, products, processes, methods and systems, as well as in the management of these projects. Students studying at the master’s or doctoral level (ISCED2011 level 7 or 8) engaged in R&D are included. 

The OECD's Frascati Manual defines research and experimental development as ""creative work undertaken on a systemic basis in order to increase the stock of knowledge, including knowledge of man, culture and society, and the use of this stock of knowledge to devise new applications."" R&D covers basic research, applied research, and experimental development.

(1) Basic research - Basic research is experimental or theoretical work undertaken primarily to acquire new knowledge of the underlying foundation of phenomena and observable facts, without any particular application or use in view.

(2) Applied research - Applied research is also original investigation undertaken in order to acquire new knowledge; it is, however, directed primarily towards a specific practical aim or objective.

(3) Experimental development - Experimental development is systematic work, drawing on existing knowledge gained from research and/or practical experience, which is directed to producing new materials, products or devices, to installing new processes, systems and services, or to improving substantially those already produced or installed.

The fields of science and technology used to classify R&D according to the Revised Fields of Science and Technology Classification are:
1. Natural sciences;
2. Engineering and technology;
3. Medical and health sciences;
4. Agricultural sciences;
5. Social sciences;
6. Humanities and the arts.

Data are for full-time equivalent (FTE); the FTE of R&D personnel is defined as the ratio of working hours actually spent on R&D during a specific reference period (usually a calendar year) divided by the total number of hours conventionally worked in the same period by an individual or by a group. 

The data are obtained through statistical surveys which are regularly conducted at national level covering R&D performing entities in the private and public sectors.",,"Estimates of the resources allocated to R&D are affected by national characteristics such as the periodicity and coverage of national R&D surveys across institutional sectors and industries; and the use of different sampling and estimation methods. R&D typically involves a few large performers, hence R&D surveys use various techniques to maintain up-to-date registers of known performers, while attempting to identify new or occasional performers.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
IP.JRN.ARTC.SC,CC BY-4.0,Scientific and technical journal articles,,"Scientific and technical journal articles refer to the number of scientific and engineering articles published in the following fields: physics, biology, chemistry, mathematics, clinical medicine, biomedical research, engineering and technology, and earth and space sciences.","National Science Foundation, Science and Engineering Indicators.",Infrastructure: Technology,,Annual,Gap-filled total,"The number of scientific and engineering articles published in the following fields: physics, biology, chemistry, mathematics, clinical medicine, biomedical research, engineering and technology, and earth and space sciences. The NSF considers article counts from a set of journals covered by Science Citation Index (SCI) and Social Sciences Citation Index (SSCI).","A scientific journal is a periodical publication intended to further the progress of science, usually by reporting new research. Most journals are highly specialized, although some of the oldest journals such as Nature publish articles and scientific papers across a wide range of scientific fields. Scientific journals contain articles that have been peer reviewed. When a scientific journal describes experiments or calculations, they must supply enough details that an independent researcher could repeat the experiment or calculation to verify the results. Each such journal article becomes part of the permanent scientific record.

Some journals, such as Nature, Science, Proceedings of the National Academy of Sciences of the United States of America (PNAS), and Physical Review Letters, have a reputation of publishing articles that mark a fundamental breakthrough in their respective fields.","Scientific and technical article counts are from journals classified by the Institute for Scientific Information's Science Citation Index (SCI) and Social Sciences Citation Index (SSCI). Counts are based on fractional assignments; articles with authors from different countries are allocated proportionately to each country. The SCI and SSCI databases cover the core set of scientific journals but may exclude some of local importance and may reflect some bias toward English-language journals.
Articles are classified by year of publication and assigned to region/country/economy on basis of institutional address(es) listed on the article. Articles are counted on a fractional-count basis that is, for articles with collaborating institutions from multiple countries/economies, each country/economy receives fractional credit on basis of proportion of its participating institutions. Details may not add to total because of rounding.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
IT.NET.SECR,CC BY-4.0,Secure Internet servers,,"The number of distinct, publicly-trusted TLS/SSL certificates found in the Netcraft Secure Server Survey.",Netcraft (http://www.netcraft.com/),Infrastructure: Communications,,Annual,Sum,"The survey examines the use of encrypted transactions through extensive automated exploration, tallying the number of web sites using HTTPS. This analysis relates to those sites found in the survey where the certificate is valid for the hostname, and the certificate has been issued from a publicly-trusted root. The indicator refers to valid, third-party certificates. Included are sites found in the survey where the common name in the certificate matched the hostname, and the certificate's digital signature was not detected as being self-signed. The location is derived from the hosting location of the sites using the certificates (rather than the countries indicated on the certificates themselves.) ""Netcraft's survey counts (unique) valid certificates issued by widely-trusted third-party certification authorities. A certificate must be valid, that is it must be within its validity period (certificates are usually valid for up to 39 months), and the digital signatures on the certificate must check successfully. It must be issued by third party certificate issuer that is recognised by Netcraft. Netcraft investigate new issuers each month and determine whether they are third party issuers that could be expected to be trusted by some user base; CAs that issue only for one company are generally excluded, as are self-signed certificates."" Netcraft note on the term “valid certificates"": “There is nothing inherently ""invalid"" about private certification or self-signed certificates. But neither of these types of certificates are generally accepted by end-users' browsers, and browsers would typically report them as ""invalid"", so our terminology is consistent with normal user expectations.” [https://www.netcraft.com/] The data reflects the December survey in that year.","The quality of an economy's infrastructure, including power and communications, is an important element in investment decisions for both domestic and foreign investors. Government effort alone is not enough to meet the need for investments in modern infrastructure; public-private partnerships, especially those involving local providers and financiers, are critical for lowering costs and delivering value for money. In telecommunications, competition in the marketplace, along with sound regulation, is lowering costs, improving quality, and easing access to services around the globe. Today's smartphones and tablets have computer power equivalent to that of yesterday's computers and provide a similar range of functions. Device convergence is thus rendering the conventional definition obsolete.

Comparable statistics on access, use, quality, and affordability of ICT are needed to formulate growth-enabling policies for the sector and to monitor and evaluate the sector's impact on development. Although basic access data are available for many countries, in most developing countries little is known about who uses ICT; what they are used for (school, work, business, research, government); and how they affect people and businesses. The global Partnership on Measuring ICT for Development is helping to set standards, harmonize information and communications technology statistics, and build statistical capacity in developing countries. However, despite significant improvements in the developing world, the gap between the ICT haves and have-nots remains.

Access to telecommunication services rose on an unprecedented scale over the past two decades. This growth was driven primarily by wireless technologies and liberalization of telecommunications markets, which have enabled faster and less costly network rollout. Mobile communications have a particularly important impact in rural areas. The mobility, ease of use, flexible deployment, and relatively low and declining rollout costs of wireless technologies enable them to reach rural populations with low levels of income and literacy. The next billion mobile subscribers will consist mainly of the rural poor. Access is the key to delivering telecommunications services to people. If the service is not affordable to most people, goals of universal usage will not be met.

Over the past decade new financing and technology, along with privatization and market liberalization, have spurred dramatic growth in telecommunications in many countries. With the rapid development of mobile telephony and the global expansion of the Internet, information and communication technologies are increasingly recognized as essential tools of development, contributing to global integration and enhancing public sector effectiveness, efficiency, and transparency.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
IT.NET.SECR.P6,CC BY-4.0,Secure Internet servers (per 1 million people),,"The number of distinct, publicly-trusted TLS/SSL certificates found in the Netcraft Secure Server Survey.",Netcraft (http://www.netcraft.com/) and World Bank population estimates.,Infrastructure: Communications,,Annual,Weighted average,"The survey examines the use of encrypted transactions through extensive automated exploration, tallying the number of web sites using HTTPS. This analysis relates to those sites found in the survey where the certificate is valid for the hostname, and the certificate has been issued from a publicly-trusted root. The indicator refers to valid, third-party certificates. Included are sites found in the survey where the common name in the certificate matched the hostname, and the certificate's digital signature was not detected as being self-signed. The location is derived from the hosting location of the sites using the certificates (rather than the countries indicated on the certificates themselves.) ""Netcraft's survey counts (unique) valid certificates issued by widely-trusted third-party certification authorities. A certificate must be valid, that is it must be within its validity period (certificates are usually valid for up to 39 months), and the digital signatures on the certificate must check successfully. It must be issued by third party certificate issuer that is recognised by Netcraft. Netcraft investigate new issuers each month and determine whether they are third party issuers that could be expected to be trusted by some user base; CAs that issue only for one company are generally excluded, as are self-signed certificates."" Netcraft note on the term “valid certificates"": “There is nothing inherently ""invalid"" about private certification or self-signed certificates. But neither of these types of certificates are generally accepted by end-users' browsers, and browsers would typically report them as ""invalid"", so our terminology is consistent with normal user expectations.” [https://www.netcraft.com/] The data reflects the December survey in that year.","The quality of an economy's infrastructure, including power and communications, is an important element in investment decisions for both domestic and foreign investors. Government effort alone is not enough to meet the need for investments in modern infrastructure; public-private partnerships, especially those involving local providers and financiers, are critical for lowering costs and delivering value for money. In telecommunications, competition in the marketplace, along with sound regulation, is lowering costs, improving quality, and easing access to services around the globe. Today's smartphones and tablets have computer power equivalent to that of yesterday's computers and provide a similar range of functions. Device convergence is thus rendering the conventional definition obsolete.

Comparable statistics on access, use, quality, and affordability of ICT are needed to formulate growth-enabling policies for the sector and to monitor and evaluate the sector's impact on development. Although basic access data are available for many countries, in most developing countries little is known about who uses ICT; what they are used for (school, work, business, research, government); and how they affect people and businesses. The global Partnership on Measuring ICT for Development is helping to set standards, harmonize information and communications technology statistics, and build statistical capacity in developing countries. However, despite significant improvements in the developing world, the gap between the ICT haves and have-nots remains.

Access to telecommunication services rose on an unprecedented scale over the past two decades. This growth was driven primarily by wireless technologies and liberalization of telecommunications markets, which have enabled faster and less costly network rollout. Mobile communications have a particularly important impact in rural areas. The mobility, ease of use, flexible deployment, and relatively low and declining rollout costs of wireless technologies enable them to reach rural populations with low levels of income and literacy. The next billion mobile subscribers will consist mainly of the rural poor. Access is the key to delivering telecommunications services to people. If the service is not affordable to most people, goals of universal usage will not be met.

Over the past decade new financing and technology, along with privatization and market liberalization, have spurred dramatic growth in telecommunications in many countries. With the rapid development of mobile telephony and the global expansion of the Internet, information and communication technologies are increasingly recognized as essential tools of development, contributing to global integration and enhancing public sector effectiveness, efficiency, and transparency.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.TECH.RD.P6,CC BY-4.0,Technicians in R&D (per million people),,"The number of technicians participated in Research & Development (R&D), expressed as per million. Technicians and equivalent staff are people who perform scientific and technical tasks involving the application of concepts and operational methods, normally under the supervision of researchers. R&D covers basic research, applied research, and experimental development.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2021.,Infrastructure: Technology,,Annual,Weighted average,"Technicians in research and development (R&D) are persons whose main tasks require technical knowledge and experience in one or more fields of engineering, physical and life sciences, or social sciences and humanities. 

The OECD's Frascati Manual defines research and experimental development as ""creative work undertaken on a systemic basis in order to increase the stock of knowledge, including knowledge of man, culture and society, and the use of this stock of knowledge to devise new applications."" R&D covers basic research, applied research, and experimental development.

(1) Basic research - Basic research is experimental or theoretical work undertaken primarily to acquire new knowledge of the underlying foundation of phenomena and observable facts, without any particular application or use in view.

(2) Applied research - Applied research is also original investigation undertaken in order to acquire new knowledge; it is, however, directed primarily towards a specific practical aim or objective.

(3) Experimental development - Experimental development is systematic work, drawing on existing knowledge gained from research and/or practical experience, which is directed to producing new materials, products or devices, to installing new processes, systems and services, or to improving substantially those already produced or installed.

The fields of science and technology used to classify R&D according to the Revised Fields of Science and Technology Classification are:
1. Natural sciences;
2. Engineering and technology;
3. Medical and health sciences;
4. Agricultural sciences;
5. Social sciences;
6. Humanities and the arts.

Data are for full-time equivalent (FTE); the FTE of R&D personnel is defined as the ratio of working hours actually spent on R&D during a specific reference period (usually a calendar year) divided by the total number of hours conventionally worked in the same period by an individual or by a group. 

The data are obtained through statistical surveys which are regularly conducted at national level covering R&D performing entities in the private and public sectors.",,"Estimates of the resources allocated to R&D are affected by national characteristics such as the periodicity and coverage of national R&D surveys across institutional sectors and industries; and the use of different sampling and estimation methods. R&D typically involves a few large performers, hence R&D surveys use various techniques to maintain up-to-date registers of known performers, while attempting to identify new or occasional performers.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
